지점,지점명,일시,기온(°C),기온 QC플래그
108,서울,2023-01-11 00:01,1.2,0
108,서울,2023-01-11 00:02,1.2,0
108,서울,2023-01-11 00:03,1.2,0
108,서울,2023-01-11 00:04,1.1,0
108,서울,2023-01-11 00:05,1.1,0
108,서울,2023-01-11 00:06,1.1,0
108,서울,2023-01-11 00:07,1.1,0
108,서울,2023-01-11 00:08,1.1,0
108,서울,2023-01-11 00:09,1.1,0
108,서울,2023-01-11 00:10,1.1,0
108,서울,2023-01-11 00:11,1,0
108,서울,2023-01-11 00:12,1,0
108,서울,2023-01-11 00:13,1,0
108,서울,2023-01-11 00:14,1,0
108,서울,2023-01-11 00:15,1,0
108,서울,2023-01-11 00:16,1,0
108,서울,2023-01-11 00:17,1,0
108,서울,2023-01-11 00:18,1,0
108,서울,2023-01-11 00:19,.9,0
108,서울,2023-01-11 00:20,.9,0
108,서울,2023-01-11 00:21,.9,0
108,서울,2023-01-11 00:22,.9,0
108,서울,2023-01-11 00:23,.9,0
108,서울,2023-01-11 00:24,.8,0
108,서울,2023-01-11 00:25,.8,0
108,서울,2023-01-11 00:26,.8,0
108,서울,2023-01-11 00:27,.8,0
108,서울,2023-01-11 00:28,.8,0
108,서울,2023-01-11 00:29,.8,0
108,서울,2023-01-11 00:30,.8,0
108,서울,2023-01-11 00:31,.8,0
108,서울,2023-01-11 00:32,.8,0
108,서울,2023-01-11 00:33,.7,0
108,서울,2023-01-11 00:34,.7,0
108,서울,2023-01-11 00:35,.7,0
108,서울,2023-01-11 00:36,.7,0
108,서울,2023-01-11 00:37,.7,0
108,서울,2023-01-11 00:38,.7,0
108,서울,2023-01-11 00:39,.7,0
108,서울,2023-01-11 00:40,.6,0
108,서울,2023-01-11 00:41,.6,0
108,서울,2023-01-11 00:42,.6,0
108,서울,2023-01-11 00:43,.6,0
108,서울,2023-01-11 00:44,.6,0
108,서울,2023-01-11 00:45,.6,0
108,서울,2023-01-11 00:46,.6,0
108,서울,2023-01-11 00:47,.6,0
108,서울,2023-01-11 00:48,.5,0
108,서울,2023-01-11 00:49,.5,0
108,서울,2023-01-11 00:50,.5,0
108,서울,2023-01-11 00:51,.5,0
108,서울,2023-01-11 00:52,.4,0
108,서울,2023-01-11 00:53,.4,0
108,서울,2023-01-11 00:54,.4,0
108,서울,2023-01-11 00:55,.4,0
108,서울,2023-01-11 00:56,.4,0
108,서울,2023-01-11 00:57,.4,0
108,서울,2023-01-11 00:58,.4,0
108,서울,2023-01-11 00:59,.4,0
108,서울,2023-01-11 01:00,.4,0
108,서울,2023-01-11 01:01,.4,0
108,서울,2023-01-11 01:02,.4,0
108,서울,2023-01-11 01:03,.4,0
108,서울,2023-01-11 01:04,.5,0
108,서울,2023-01-11 01:05,.5,0
108,서울,2023-01-11 01:06,.5,0
108,서울,2023-01-11 01:07,.5,0
108,서울,2023-01-11 01:08,.5,0
108,서울,2023-01-11 01:09,.5,0
108,서울,2023-01-11 01:10,.5,0
108,서울,2023-01-11 01:11,.5,0
108,서울,2023-01-11 01:12,.4,0
108,서울,2023-01-11 01:13,.4,0
108,서울,2023-01-11 01:14,.4,0
108,서울,2023-01-11 01:15,.4,0
108,서울,2023-01-11 01:16,.3,0
108,서울,2023-01-11 01:17,.3,0
108,서울,2023-01-11 01:18,.3,0
108,서울,2023-01-11 01:19,.3,0
108,서울,2023-01-11 01:20,.3,0
108,서울,2023-01-11 01:21,.2,0
108,서울,2023-01-11 01:22,.2,0
108,서울,2023-01-11 01:23,.2,0
108,서울,2023-01-11 01:24,.2,0
108,서울,2023-01-11 01:25,.2,0
108,서울,2023-01-11 01:26,.2,0
108,서울,2023-01-11 01:27,.2,0
108,서울,2023-01-11 01:28,.2,0
108,서울,2023-01-11 01:29,.2,0
108,서울,2023-01-11 01:30,.2,0
108,서울,2023-01-11 01:31,.2,0
108,서울,2023-01-11 01:32,.2,0
108,서울,2023-01-11 01:33,.2,0
108,서울,2023-01-11 01:34,.2,0
108,서울,2023-01-11 01:35,.1,0
108,서울,2023-01-11 01:36,.1,0
