지점,지점명,일시,기온(°C),기온 QC플래그
108,서울,2023-01-09 00:01,3.2,0
108,서울,2023-01-09 00:02,3.2,0
108,서울,2023-01-09 00:03,3.2,0
108,서울,2023-01-09 00:04,3.2,0
108,서울,2023-01-09 00:05,3.2,0
108,서울,2023-01-09 00:06,3.2,0
108,서울,2023-01-09 00:07,3.2,0
108,서울,2023-01-09 00:08,3.2,0
108,서울,2023-01-09 00:09,3.2,0
108,서울,2023-01-09 00:10,3.2,0
108,서울,2023-01-09 00:11,3.2,0
108,서울,2023-01-09 00:12,3.2,0
108,서울,2023-01-09 00:13,3.2,0
108,서울,2023-01-09 00:14,3.2,0
108,서울,2023-01-09 00:15,3.2,0
108,서울,2023-01-09 00:16,3.2,0
108,서울,2023-01-09 00:17,3.2,0
108,서울,2023-01-09 00:18,3.2,0
108,서울,2023-01-09 00:19,3.2,0
108,서울,2023-01-09 00:20,3.2,0
108,서울,2023-01-09 00:21,3.2,0
108,서울,2023-01-09 00:22,3.2,0
108,서울,2023-01-09 00:23,3.2,0
108,서울,2023-01-09 00:24,3.2,0
108,서울,2023-01-09 00:25,3.2,0
108,서울,2023-01-09 00:26,3.2,0
108,서울,2023-01-09 00:27,3.2,0
108,서울,2023-01-09 00:28,3.2,0
108,서울,2023-01-09 00:29,3.2,0
108,서울,2023-01-09 00:30,3.2,0
108,서울,2023-01-09 00:31,3.2,0
108,서울,2023-01-09 00:32,3.2,0
108,서울,2023-01-09 00:33,3.2,0
108,서울,2023-01-09 00:34,3.2,0
108,서울,2023-01-09 00:35,3.2,0
108,서울,2023-01-09 00:36,3.2,0
108,서울,2023-01-09 00:37,3.2,0
108,서울,2023-01-09 00:38,3.2,0
108,서울,2023-01-09 00:39,3.2,0
108,서울,2023-01-09 00:40,3.2,0
108,서울,2023-01-09 00:41,3.2,0
108,서울,2023-01-09 00:42,3.2,0
108,서울,2023-01-09 00:43,3.2,0
108,서울,2023-01-09 00:44,3.2,0
108,서울,2023-01-09 00:45,3.2,0
108,서울,2023-01-09 00:46,3.2,0
108,서울,2023-01-09 00:47,3.2,0
108,서울,2023-01-09 00:48,3.2,0
108,서울,2023-01-09 00:49,3.2,0
108,서울,2023-01-09 00:50,3.2,0
108,서울,2023-01-09 00:51,3.2,0
108,서울,2023-01-09 00:52,3.2,0
108,서울,2023-01-09 00:53,3.2,0
108,서울,2023-01-09 00:54,3.2,0
108,서울,2023-01-09 00:55,3.2,0
108,서울,2023-01-09 00:56,3.2,0
108,서울,2023-01-09 00:57,3.2,0
108,서울,2023-01-09 00:58,3.2,0
108,서울,2023-01-09 00:59,3.2,0
108,서울,2023-01-09 01:00,3.2,0
108,서울,2023-01-09 01:01,3.2,0
108,서울,2023-01-09 01:02,3.2,0
108,서울,2023-01-09 01:03,3.2,0
108,서울,2023-01-09 01:04,3.2,0
108,서울,2023-01-09 01:05,3.2,0
108,서울,2023-01-09 01:06,3.2,0
108,서울,2023-01-09 01:07,3.2,0
108,서울,2023-01-09 01:08,3.2,0
108,서울,2023-01-09 01:09,3.2,0
108,서울,2023-01-09 01:10,3.2,0
108,서울,2023-01-09 01:11,3.2,0
108,서울,2023-01-09 01:12,3.2,0
108,서울,2023-01-09 01:13,3.2,0
108,서울,2023-01-09 01:14,3.2,0
108,서울,2023-01-09 01:15,3.2,0
108,서울,2023-01-09 01:16,3.2,0
108,서울,2023-01-09 01:17,3.2,0
108,서울,2023-01-09 01:18,3.2,0
108,서울,2023-01-09 01:19,3.2,0
108,서울,2023-01-09 01:20,3.2,0
108,서울,2023-01-09 01:21,3.2,0
108,서울,2023-01-09 01:22,3.2,0
108,서울,2023-01-09 01:23,3.2,0
108,서울,2023-01-09 01:24,3.2,0
108,서울,2023-01-09 01:25,3.2,0
108,서울,2023-01-09 01:26,3.2,0
108,서울,2023-01-09 01:27,3.2,0
108,서울,2023-01-09 01:28,3.2,0
108,서울,2023-01-09 01:29,3.3,0
108,서울,2023-01-09 01:30,3.3,0
108,서울,2023-01-09 01:31,3.3,0
108,서울,2023-01-09 01:32,3.3,0
108,서울,2023-01-09 01:33,3.3,0
108,서울,2023-01-09 01:34,3.3,0
108,서울,2023-01-09 01:35,3.3,0
108,서울,2023-01-09 01:36,3.3,0
108,서울,2023-01-09 01:37,3.3,0
108,서울,2023-01-09 01:38,3.3,0
108,서울,2023-01-09 01:39,3.3,0
108,서울,2023-01-09 01:40,3.3,0
108,서울,2023-01-09 01:41,3.3,0
108,서울,2023-01-09 01:42,3.3,0
108,서울,2023-01-09 01:43,3.3,0
108,서울,2023-01-09 01:44,3.3,0
108,서울,2023-01-09 01:45,3.3,0
108,서울,2023-01-09 01:46,3.3,0
108,서울,2023-01-09 01:47,3.3,0
108,서울,2023-01-09 01:48,3.3,0
108,서울,2023-01-09 01:49,3.3,0
108,서울,2023-01-09 01:50,3.3,0
108,서울,2023-01-09 01:51,3.3,0
108,서울,2023-01-09 01:52,3.3,0
108,서울,2023-01-09 01:53,3.3,0
108,서울,2023-01-09 01:54,3.3,0
108,서울,2023-01-09 01:55,3.3,0
108,서울,2023-01-09 01:56,3.3,0
108,서울,2023-01-09 01:57,3.3,0
108,서울,2023-01-09 01:58,3.3,0
108,서울,2023-01-09 01:59,3.3,0
108,서울,2023-01-09 02:00,3.3,0
108,서울,2023-01-09 02:01,3.3,0
108,서울,2023-01-09 02:02,3.3,0
108,서울,2023-01-09 02:03,3.3,0
108,서울,2023-01-09 02:04,3.3,0
108,서울,2023-01-09 02:05,3.3,0
108,서울,2023-01-09 02:06,3.3,0
108,서울,2023-01-09 02:07,3.3,0
108,서울,2023-01-09 02:08,3.3,0
108,서울,2023-01-09 02:09,3.3,0
108,서울,2023-01-09 02:10,3.3,0
108,서울,2023-01-09 02:11,3.3,0
108,서울,2023-01-09 02:12,3.3,0
108,서울,2023-01-09 02:13,3.3,0
108,서울,2023-01-09 02:14,3.3,0
108,서울,2023-01-09 02:15,3.3,0
108,서울,2023-01-09 02:16,3.4,0
108,서울,2023-01-09 02:17,3.4,0
108,서울,2023-01-09 02:18,3.3,0
108,서울,2023-01-09 02:19,3.4,0
108,서울,2023-01-09 02:20,3.4,0
108,서울,2023-01-09 02:21,3.4,0
108,서울,2023-01-09 02:22,3.4,0
108,서울,2023-01-09 02:23,3.4,0
108,서울,2023-01-09 02:24,3.4,0
108,서울,2023-01-09 02:25,3.4,0
108,서울,2023-01-09 02:26,3.4,0
108,서울,2023-01-09 02:27,3.4,0
108,서울,2023-01-09 02:28,3.4,0
108,서울,2023-01-09 02:29,3.4,0
108,서울,2023-01-09 02:30,3.4,0
108,서울,2023-01-09 02:31,3.4,0
108,서울,2023-01-09 02:32,3.4,0
108,서울,2023-01-09 02:33,3.4,0
108,서울,2023-01-09 02:34,3.4,0
108,서울,2023-01-09 02:35,3.4,0
108,서울,2023-01-09 02:36,3.4,0
108,서울,2023-01-09 02:37,3.4,0
108,서울,2023-01-09 02:38,3.4,0
108,서울,2023-01-09 02:39,3.4,0
108,서울,2023-01-09 02:40,3.4,0
108,서울,2023-01-09 02:41,3.4,0
108,서울,2023-01-09 02:42,3.4,0
108,서울,2023-01-09 02:43,3.4,0
108,서울,2023-01-09 02:44,3.4,0
108,서울,2023-01-09 02:45,3.4,0
108,서울,2023-01-09 02:46,3.4,0
108,서울,2023-01-09 02:47,3.4,0
108,서울,2023-01-09 02:48,3.4,0
108,서울,2023-01-09 02:49,3.4,0
108,서울,2023-01-09 02:50,3.4,0
108,서울,2023-01-09 02:51,3.4,0
108,서울,2023-01-09 02:52,3.4,0
108,서울,2023-01-09 02:53,3.4,0
108,서울,2023-01-09 02:54,3.4,0
108,서울,2023-01-09 02:55,3.4,0
108,서울,2023-01-09 02:56,3.4,0
108,서울,2023-01-09 02:57,3.4,0
108,서울,2023-01-09 02:58,3.4,0
108,서울,2023-01-09 02:59,3.4,0
108,서울,2023-01-09 03:00,3.4,0
108,서울,2023-01-09 03:01,3.4,0
108,서울,2023-01-09 03:02,3.4,0
108,서울,2023-01-09 03:03,3.4,0
108,서울,2023-01-09 03:04,3.4,0
108,서울,2023-01-09 03:05,3.4,0
108,서울,2023-01-09 03:06,3.4,0
108,서울,2023-01-09 03:07,3.4,0
108,서울,2023-01-09 03:08,3.4,0
108,서울,2023-01-09 03:09,3.4,0
108,서울,2023-01-09 03:10,3.4,0
108,서울,2023-01-09 03:11,3.4,0
108,서울,2023-01-09 03:12,3.4,0
108,서울,2023-01-09 03:13,3.4,0
108,서울,2023-01-09 03:14,3.4,0
108,서울,2023-01-09 03:15,3.4,0
108,서울,2023-01-09 03:16,3.4,0
108,서울,2023-01-09 03:17,3.4,0
108,서울,2023-01-09 03:18,3.4,0
108,서울,2023-01-09 03:19,3.4,0
108,서울,2023-01-09 03:20,3.4,0
108,서울,2023-01-09 03:21,3.4,0
108,서울,2023-01-09 03:22,3.4,0
108,서울,2023-01-09 03:23,3.4,0
108,서울,2023-01-09 03:24,3.4,0
108,서울,2023-01-09 03:25,3.4,0
108,서울,2023-01-09 03:26,3.4,0
108,서울,2023-01-09 03:27,3.4,0
108,서울,2023-01-09 03:28,3.4,0
108,서울,2023-01-09 03:29,3.4,0
108,서울,2023-01-09 03:30,3.4,0
108,서울,2023-01-09 03:31,3.4,0
108,서울,2023-01-09 03:32,3.4,0
108,서울,2023-01-09 03:33,3.4,0
108,서울,2023-01-09 03:34,3.4,0
108,서울,2023-01-09 03:35,3.4,0
108,서울,2023-01-09 03:36,3.4,0
108,서울,2023-01-09 03:37,3.4,0
