지점,지점명,일시,기온(°C),기온 QC플래그
108,서울,2023-01-06 00:01,-2.1,0
108,서울,2023-01-06 00:02,-2.1,0
108,서울,2023-01-06 00:03,-2.1,0
108,서울,2023-01-06 00:04,-2.1,0
108,서울,2023-01-06 00:05,-2.1,0
108,서울,2023-01-06 00:06,-2.1,0
108,서울,2023-01-06 00:07,-2.1,0
108,서울,2023-01-06 00:08,-2.1,0
108,서울,2023-01-06 00:09,-2.1,0
108,서울,2023-01-06 00:10,-2.1,0
108,서울,2023-01-06 00:11,-2.1,0
108,서울,2023-01-06 00:12,-2.1,0
108,서울,2023-01-06 00:13,-2.1,0
108,서울,2023-01-06 00:14,-2.1,0
108,서울,2023-01-06 00:15,-2.1,0
108,서울,2023-01-06 00:16,-2.1,0
108,서울,2023-01-06 00:17,-2.1,0
108,서울,2023-01-06 00:18,-2.1,0
108,서울,2023-01-06 00:19,-2.2,0
108,서울,2023-01-06 00:20,-2.2,0
108,서울,2023-01-06 00:21,-2.2,0
108,서울,2023-01-06 00:22,-2.2,0
108,서울,2023-01-06 00:23,-2.2,0
108,서울,2023-01-06 00:24,-2.2,0
108,서울,2023-01-06 00:25,-2.2,0
108,서울,2023-01-06 00:26,-2.2,0
108,서울,2023-01-06 00:27,-2.2,0
108,서울,2023-01-06 00:28,-2.2,0
108,서울,2023-01-06 00:29,-2.2,0
108,서울,2023-01-06 00:30,-2.2,0
108,서울,2023-01-06 00:31,-2.2,0
108,서울,2023-01-06 00:32,-2.2,0
108,서울,2023-01-06 00:33,-2.2,0
108,서울,2023-01-06 00:34,-2.2,0
108,서울,2023-01-06 00:35,-2.2,0
108,서울,2023-01-06 00:36,-2.2,0
108,서울,2023-01-06 00:37,-2.3,0
108,서울,2023-01-06 00:38,-2.3,0
108,서울,2023-01-06 00:39,-2.3,0
108,서울,2023-01-06 00:40,-2.3,0
108,서울,2023-01-06 00:41,-2.3,0
108,서울,2023-01-06 00:42,-2.3,0
108,서울,2023-01-06 00:43,-2.3,0
108,서울,2023-01-06 00:44,-2.3,0
108,서울,2023-01-06 00:45,-2.2,0
108,서울,2023-01-06 00:46,-2.2,0
108,서울,2023-01-06 00:47,-2.2,0
108,서울,2023-01-06 00:48,-2.3,0
108,서울,2023-01-06 00:49,-2.3,0
108,서울,2023-01-06 00:50,-2.3,0
108,서울,2023-01-06 00:51,-2.3,0
108,서울,2023-01-06 00:52,-2.3,0
108,서울,2023-01-06 00:53,-2.3,0
108,서울,2023-01-06 00:54,-2.3,0
108,서울,2023-01-06 00:55,-2.3,0
108,서울,2023-01-06 00:56,-2.3,0
108,서울,2023-01-06 00:57,-2.4,0
108,서울,2023-01-06 00:58,-2.4,0
108,서울,2023-01-06 00:59,-2.4,0
108,서울,2023-01-06 01:00,-2.4,0
108,서울,2023-01-06 01:01,-2.3,0
108,서울,2023-01-06 01:02,-2.4,0
108,서울,2023-01-06 01:03,-2.4,0
108,서울,2023-01-06 01:04,-2.4,0
108,서울,2023-01-06 01:05,-2.4,0
108,서울,2023-01-06 01:06,-2.4,0
108,서울,2023-01-06 01:07,-2.4,0
108,서울,2023-01-06 01:08,-2.4,0
108,서울,2023-01-06 01:09,-2.4,0
108,서울,2023-01-06 01:10,-2.4,0
108,서울,2023-01-06 01:11,-2.5,0
108,서울,2023-01-06 01:12,-2.5,0
108,서울,2023-01-06 01:13,-2.5,0
108,서울,2023-01-06 01:14,-2.4,0
108,서울,2023-01-06 01:15,-2.4,0
108,서울,2023-01-06 01:16,-2.4,0
108,서울,2023-01-06 01:17,-2.4,0
108,서울,2023-01-06 01:18,-2.4,0
108,서울,2023-01-06 01:19,-2.4,0
108,서울,2023-01-06 01:20,-2.4,0
108,서울,2023-01-06 01:21,-2.5,0
108,서울,2023-01-06 01:22,-2.5,0
108,서울,2023-01-06 01:23,-2.5,0
108,서울,2023-01-06 01:24,-2.5,0
108,서울,2023-01-06 01:25,-2.5,0
108,서울,2023-01-06 01:26,-2.5,0
108,서울,2023-01-06 01:27,-2.5,0
108,서울,2023-01-06 01:28,-2.5,0
108,서울,2023-01-06 01:29,-2.5,0
108,서울,2023-01-06 01:30,-2.5,0
108,서울,2023-01-06 01:31,-2.5,0
108,서울,2023-01-06 01:32,-2.5,0
108,서울,2023-01-06 01:33,-2.5,0
108,서울,2023-01-06 01:34,-2.5,0
108,서울,2023-01-06 01:35,-2.5,0
108,서울,2023-01-06 01:36,-2.5,0
108,서울,2023-01-06 01:37,-2.5,0
108,서울,2023-01-06 01:38,-2.5,0
108,서울,2023-01-06 01:39,-2.4,0
108,서울,2023-01-06 01:40,-2.4,0
108,서울,2023-01-06 01:41,-2.4,0
108,서울,2023-01-06 01:42,-2.4,0
108,서울,2023-01-06 01:43,-2.4,0
108,서울,2023-01-06 01:44,-2.4,0
108,서울,2023-01-06 01:45,-2.4,0
108,서울,2023-01-06 01:46,-2.4,0
108,서울,2023-01-06 01:47,-2.4,0
108,서울,2023-01-06 01:48,-2.4,0
108,서울,2023-01-06 01:49,-2.4,0
108,서울,2023-01-06 01:50,-2.5,0
108,서울,2023-01-06 01:51,-2.4,0
108,서울,2023-01-06 01:52,-2.4,0
108,서울,2023-01-06 01:53,-2.4,0
108,서울,2023-01-06 01:54,-2.5,0
108,서울,2023-01-06 01:55,-2.5,0
108,서울,2023-01-06 01:56,-2.5,0
108,서울,2023-01-06 01:57,-2.6,0
108,서울,2023-01-06 01:58,-2.6,0
108,서울,2023-01-06 01:59,-2.6,0
108,서울,2023-01-06 02:00,-2.6,0
108,서울,2023-01-06 02:01,-2.6,0
108,서울,2023-01-06 02:02,-2.6,0
108,서울,2023-01-06 02:03,-2.6,0
108,서울,2023-01-06 02:04,-2.6,0
108,서울,2023-01-06 02:05,-2.6,0
108,서울,2023-01-06 02:06,-2.6,0
108,서울,2023-01-06 02:07,-2.7,0
108,서울,2023-01-06 02:08,-2.7,0
108,서울,2023-01-06 02:09,-2.7,0
108,서울,2023-01-06 02:10,-2.7,0
108,서울,2023-01-06 02:11,-2.7,0
108,서울,2023-01-06 02:12,-2.7,0
108,서울,2023-01-06 02:13,-2.8,0
108,서울,2023-01-06 02:14,-2.8,0
108,서울,2023-01-06 02:15,-2.8,0
108,서울,2023-01-06 02:16,-2.8,0
108,서울,2023-01-06 02:17,-2.8,0
108,서울,2023-01-06 02:18,-2.8,0
108,서울,2023-01-06 02:19,-2.8,0
108,서울,2023-01-06 02:20,-2.9,0
108,서울,2023-01-06 02:21,-2.9,0
108,서울,2023-01-06 02:22,-2.9,0
108,서울,2023-01-06 02:23,-2.9,0
108,서울,2023-01-06 02:24,-2.9,0
108,서울,2023-01-06 02:25,-2.9,0
108,서울,2023-01-06 02:26,-2.9,0
108,서울,2023-01-06 02:27,-2.9,0
108,서울,2023-01-06 02:28,-3,0
108,서울,2023-01-06 02:29,-3,0
108,서울,2023-01-06 02:30,-3,0
108,서울,2023-01-06 02:31,-3,0
108,서울,2023-01-06 02:32,-3,0
108,서울,2023-01-06 02:33,-3,0
108,서울,2023-01-06 02:34,-3,0
108,서울,2023-01-06 02:35,-3,0
108,서울,2023-01-06 02:36,-3,0
108,서울,2023-01-06 02:37,-3,0
108,서울,2023-01-06 02:38,-3,0
108,서울,2023-01-06 02:39,-3.1,0
108,서울,2023-01-06 02:40,-3.1,0
108,서울,2023-01-06 02:41,-3.1,0
108,서울,2023-01-06 02:42,-3.1,0
108,서울,2023-01-06 02:43,-3.1,0
108,서울,2023-01-06 02:44,-3.1,0
108,서울,2023-01-06 02:45,-3.1,0
108,서울,2023-01-06 02:46,-3.1,0
108,서울,2023-01-06 02:47,-3.1,0
108,서울,2023-01-06 02:48,-3.1,0
108,서울,2023-01-06 02:49,-3.1,0
108,서울,2023-01-06 02:50,-3.1,0
108,서울,2023-01-06 02:51,-3.1,0
108,서울,2023-01-06 02:52,-3.1,0
108,서울,2023-01-06 02:53,-3.1,0
108,서울,2023-01-06 02:54,-3.2,0
108,서울,2023-01-06 02:55,-3.2,0
108,서울,2023-01-06 02:56,-3.2,0
108,서울,2023-01-06 02:57,-3.2,0
108,서울,2023-01-06 02:58,-3.2,0
108,서울,2023-01-06 02:59,-3.2,0
108,서울,2023-01-06 03:00,-3.2,0
108,서울,2023-01-06 03:01,-3.2,0
108,서울,2023-01-06 03:02,-3.2,0
108,서울,2023-01-06 03:03,-3.2,0
108,서울,2023-01-06 03:04,-3.2,0
108,서울,2023-01-06 03:05,-3.2,0
108,서울,2023-01-06 03:06,-3.2,0
108,서울,2023-01-06 03:07,-3.2,0
108,서울,2023-01-06 03:08,-3.2,0
108,서울,2023-01-06 03:09,-3.3,0
108,서울,2023-01-06 03:10,-3.3,0
108,서울,2023-01-06 03:11,-3.3,0
108,서울,2023-01-06 03:12,-3.3,0
108,서울,2023-01-06 03:13,-3.3,0
108,서울,2023-01-06 03:14,-3.3,0
108,서울,2023-01-06 03:15,-3.3,0
108,서울,2023-01-06 03:16,-3.3,0
108,서울,2023-01-06 03:17,-3.3,0
108,서울,2023-01-06 03:18,-3.3,0
108,서울,2023-01-06 03:19,-3.3,0
108,서울,2023-01-06 03:20,-3.3,0
108,서울,2023-01-06 03:21,-3.3,0
108,서울,2023-01-06 03:22,-3.3,0
108,서울,2023-01-06 03:23,-3.3,0
108,서울,2023-01-06 03:24,-3.3,0
108,서울,2023-01-06 03:25,-3.3,0
108,서울,2023-01-06 03:26,-3.3,0
108,서울,2023-01-06 03:27,-3.3,0
108,서울,2023-01-06 03:28,-3.4,0
108,서울,2023-01-06 03:29,-3.4,0
108,서울,2023-01-06 03:30,-3.4,0
108,서울,2023-01-06 03:31,-3.4,0
108,서울,2023-01-06 03:32,-3.4,0
108,서울,2023-01-06 03:33,-3.4,0
108,서울,2023-01-06 03:34,-3.4,0
108,서울,2023-01-06 03:35,-3.4,0
108,서울,2023-01-06 03:36,-3.4,0
108,서울,2023-01-06 03:37,-3.4,0
108,서울,2023-01-06 03:38,-3.4,0
108,서울,2023-01-06 03:39,-3.4,0
108,서울,2023-01-06 03:40,-3.4,0
108,서울,2023-01-06 03:41,-3.4,0
108,서울,2023-01-06 03:42,-3.4,0
108,서울,2023-01-06 03:43,-3.4,0
108,서울,2023-01-06 03:44,-3.4,0
108,서울,2023-01-06 03:45,-3.4,0
108,서울,2023-01-06 03:46,-3.4,0
108,서울,2023-01-06 03:47,-3.4,0
108,서울,2023-01-06 03:48,-3.4,0
108,서울,2023-01-06 03:49,-3.5,0
108,서울,2023-01-06 03:50,-3.5,0
108,서울,2023-01-06 03:51,-3.5,0
108,서울,2023-01-06 03:52,-3.5,0
