지점,지점명,일시,기온(°C),기온 QC플래그
108,서울,2023-01-08 00:01,-1.4,0
108,서울,2023-01-08 00:02,-1.4,0
108,서울,2023-01-08 00:03,-1.4,0
108,서울,2023-01-08 00:04,-1.4,0
108,서울,2023-01-08 00:05,-1.4,0
108,서울,2023-01-08 00:06,-1.4,0
108,서울,2023-01-08 00:07,-1.4,0
108,서울,2023-01-08 00:08,-1.4,0
108,서울,2023-01-08 00:09,-1.4,0
108,서울,2023-01-08 00:10,-1.4,0
108,서울,2023-01-08 00:11,-1.4,0
108,서울,2023-01-08 00:12,-1.5,0
108,서울,2023-01-08 00:13,-1.5,0
108,서울,2023-01-08 00:14,-1.5,0
108,서울,2023-01-08 00:15,-1.5,0
108,서울,2023-01-08 00:16,-1.5,0
108,서울,2023-01-08 00:17,-1.5,0
108,서울,2023-01-08 00:18,-1.5,0
108,서울,2023-01-08 00:19,-1.5,0
108,서울,2023-01-08 00:20,-1.5,0
108,서울,2023-01-08 00:21,-1.5,0
108,서울,2023-01-08 00:22,-1.5,0
108,서울,2023-01-08 00:23,-1.5,0
108,서울,2023-01-08 00:24,-1.5,0
108,서울,2023-01-08 00:25,-1.5,0
108,서울,2023-01-08 00:26,-1.6,0
108,서울,2023-01-08 00:27,-1.6,0
108,서울,2023-01-08 00:28,-1.6,0
108,서울,2023-01-08 00:29,-1.6,0
108,서울,2023-01-08 00:30,-1.7,0
108,서울,2023-01-08 00:31,-1.6,0
108,서울,2023-01-08 00:32,-1.6,0
108,서울,2023-01-08 00:33,-1.6,0
108,서울,2023-01-08 00:34,-1.6,0
108,서울,2023-01-08 00:35,-1.6,0
108,서울,2023-01-08 00:36,-1.6,0
108,서울,2023-01-08 00:37,-1.6,0
108,서울,2023-01-08 00:38,-1.6,0
108,서울,2023-01-08 00:39,-1.6,0
108,서울,2023-01-08 00:40,-1.6,0
108,서울,2023-01-08 00:41,-1.6,0
108,서울,2023-01-08 00:42,-1.6,0
108,서울,2023-01-08 00:43,-1.7,0
108,서울,2023-01-08 00:44,-1.7,0
108,서울,2023-01-08 00:45,-1.7,0
108,서울,2023-01-08 00:46,-1.7,0
108,서울,2023-01-08 00:47,-1.7,0
108,서울,2023-01-08 00:48,-1.7,0
108,서울,2023-01-08 00:49,-1.7,0
108,서울,2023-01-08 00:50,-1.7,0
108,서울,2023-01-08 00:51,-1.7,0
108,서울,2023-01-08 00:52,-1.7,0
108,서울,2023-01-08 00:53,-1.7,0
108,서울,2023-01-08 00:54,-1.7,0
108,서울,2023-01-08 00:55,-1.7,0
108,서울,2023-01-08 00:56,-1.7,0
108,서울,2023-01-08 00:57,-1.7,0
108,서울,2023-01-08 00:58,-1.7,0
108,서울,2023-01-08 00:59,-1.8,0
108,서울,2023-01-08 01:00,-1.8,0
108,서울,2023-01-08 01:01,-1.8,0
108,서울,2023-01-08 01:02,-1.7,0
108,서울,2023-01-08 01:03,-1.8,0
108,서울,2023-01-08 01:04,-1.8,0
108,서울,2023-01-08 01:05,-1.8,0
108,서울,2023-01-08 01:06,-1.8,0
108,서울,2023-01-08 01:07,-1.8,0
108,서울,2023-01-08 01:08,-1.8,0
108,서울,2023-01-08 01:09,-1.8,0
108,서울,2023-01-08 01:10,-1.9,0
108,서울,2023-01-08 01:11,-1.8,0
108,서울,2023-01-08 01:12,-1.9,0
108,서울,2023-01-08 01:13,-1.9,0
108,서울,2023-01-08 01:14,-1.9,0
108,서울,2023-01-08 01:15,-1.9,0
108,서울,2023-01-08 01:16,-1.9,0
108,서울,2023-01-08 01:17,-1.9,0
108,서울,2023-01-08 01:18,-1.9,0
108,서울,2023-01-08 01:19,-2,0
108,서울,2023-01-08 01:20,-1.9,0
108,서울,2023-01-08 01:21,-2,0
108,서울,2023-01-08 01:22,-1.9,0
108,서울,2023-01-08 01:23,-1.9,0
108,서울,2023-01-08 01:24,-1.9,0
108,서울,2023-01-08 01:25,-1.9,0
108,서울,2023-01-08 01:26,-1.9,0
108,서울,2023-01-08 01:27,-1.9,0
108,서울,2023-01-08 01:28,-1.9,0
108,서울,2023-01-08 01:29,-1.8,0
108,서울,2023-01-08 01:30,-1.8,0
108,서울,2023-01-08 01:31,-1.8,0
108,서울,2023-01-08 01:32,-1.8,0
108,서울,2023-01-08 01:33,-1.8,0
108,서울,2023-01-08 01:34,-1.9,0
108,서울,2023-01-08 01:35,-1.9,0
108,서울,2023-01-08 01:36,-1.9,0
108,서울,2023-01-08 01:37,-1.9,0
108,서울,2023-01-08 01:38,-1.9,0
108,서울,2023-01-08 01:39,-1.9,0
108,서울,2023-01-08 01:40,-1.9,0
108,서울,2023-01-08 01:41,-1.8,0
108,서울,2023-01-08 01:42,-1.8,0
108,서울,2023-01-08 01:43,-1.9,0
108,서울,2023-01-08 01:44,-1.9,0
108,서울,2023-01-08 01:45,-1.9,0
108,서울,2023-01-08 01:46,-1.9,0
108,서울,2023-01-08 01:47,-1.9,0
108,서울,2023-01-08 01:48,-1.8,0
108,서울,2023-01-08 01:49,-1.8,0
108,서울,2023-01-08 01:50,-1.8,0
108,서울,2023-01-08 01:51,-1.8,0
108,서울,2023-01-08 01:52,-1.8,0
108,서울,2023-01-08 01:53,-1.8,0
108,서울,2023-01-08 01:54,-1.8,0
108,서울,2023-01-08 01:55,-1.8,0
108,서울,2023-01-08 01:56,-1.8,0
108,서울,2023-01-08 01:57,-1.9,0
108,서울,2023-01-08 01:58,-1.9,0
108,서울,2023-01-08 01:59,-1.9,0
108,서울,2023-01-08 02:00,-2,0
108,서울,2023-01-08 02:01,-2,0
108,서울,2023-01-08 02:02,-2,0
108,서울,2023-01-08 02:03,-2,0
108,서울,2023-01-08 02:04,-2,0
108,서울,2023-01-08 02:05,-2,0
108,서울,2023-01-08 02:06,-2.1,0
108,서울,2023-01-08 02:07,-2.1,0
108,서울,2023-01-08 02:08,-2.1,0
108,서울,2023-01-08 02:09,-2.1,0
108,서울,2023-01-08 02:10,-2.1,0
108,서울,2023-01-08 02:11,-2.1,0
108,서울,2023-01-08 02:12,-2.1,0
108,서울,2023-01-08 02:13,-2.1,0
108,서울,2023-01-08 02:14,-2.1,0
108,서울,2023-01-08 02:15,-2.2,0
108,서울,2023-01-08 02:16,-2.2,0
108,서울,2023-01-08 02:17,-2.2,0
108,서울,2023-01-08 02:18,-2.2,0
108,서울,2023-01-08 02:19,-2.2,0
108,서울,2023-01-08 02:20,-2.2,0
108,서울,2023-01-08 02:21,-2.2,0
108,서울,2023-01-08 02:22,-2.2,0
108,서울,2023-01-08 02:23,-2.3,0
108,서울,2023-01-08 02:24,-2.3,0
108,서울,2023-01-08 02:25,-2.3,0
108,서울,2023-01-08 02:26,-2.3,0
108,서울,2023-01-08 02:27,-2.2,0
108,서울,2023-01-08 02:28,-2.2,0
108,서울,2023-01-08 02:29,-2.3,0
108,서울,2023-01-08 02:30,-2.3,0
108,서울,2023-01-08 02:31,-2.3,0
108,서울,2023-01-08 02:32,-2.2,0
108,서울,2023-01-08 02:33,-2.2,0
108,서울,2023-01-08 02:34,-2.2,0
108,서울,2023-01-08 02:35,-2.3,0
108,서울,2023-01-08 02:36,-2.3,0
108,서울,2023-01-08 02:37,-2.3,0
108,서울,2023-01-08 02:38,-2.3,0
